,page_num,block_num,word_num,min_x,min_y,width,height,conf,text
0,2,1,1,2731,1248,455,171,99.99873638153076,David
1,2,1,2,3239,1266,795,135,99.37157034873962,Abramson
2,2,1,1,2552,1489,1669,135,42.91134774684906,davidonthethird@gmail.com
3,2,1,1,1963,1641,2856,188,19.472165405750275,htpshw.inkeincomindaudas312Z12a
4,2,1,1,2383,1926,2017,162,43.793874979019165,htpslIgithub.comidavidonthethird
5,2,1,1,786,2774,652,134,92.71712899208069,Summary:
6,2,1,1,795,3041,491,108,54.8623263835907,Financial
7,2,1,2,1312,3032,643,135,72.94200658798218,engineering
8,2,1,3,1981,3032,536,108,98.15535545349121,candidate
9,2,1,4,2534,3014,367,135,98.62064719200134,skilled
10,2,1,5,2900,3014,135,135,99.99933242797852,in
11,2,1,6,3043,3023,429,135,99.99513626098633,"Python,"
12,2,1,7,3489,3023,250,108,99.99772310256958,data
13,2,1,8,3747,3006,510,161,99.89787340164185,"analysis,"
14,2,1,9,4265,3014,224,117,99.99520778656006,and
15,2,1,10,4514,3023,599,99,53.39584946632385,investment
16,2,1,11,5130,3014,518,108,99.98972415924072,research.
17,2,1,1,777,3193,376,135,90.63395261764526,Driven
18,2,1,2,1152,3184,179,161,99.99984502792358,by
19,2,1,3,1321,3202,117,135,99.99150037765503,a
20,2,1,4,1437,3202,429,135,88.70518207550049,passion
21,2,1,5,1874,3193,197,135,99.99995231628418,for
22,2,1,6,2062,3193,348,144,81.8032443523407,equity
23,2,1,7,2418,3184,501,135,99.99231100082397,research
24,2,1,8,2936,3193,215,117,99.44682121276855,and
25,2,1,9,3177,3193,446,135,99.99196529388428,portfolio
26,2,1,10,3640,3184,688,135,99.93090629577637,optimization.
27,2,1,1,795,3469,670,108,96.82403802871704,Education:
28,2,1,1,786,3737,340,108,99.9882459640503,Johns
29,2,1,2,1143,3728,456,135,99.99871253967285,Hopkins
30,2,1,3,1607,3728,554,135,99.96457099914551,University
31,2,1,1,4773,3701,492,162,99.99542236328125,Expected
32,2,1,2,5273,3719,259,108,99.94866847991943,June
33,2,1,3,5540,3719,269,108,99.6408760547638,2026
34,2,1,1,786,3889,358,108,99.11562204360962,Master
35,2,1,2,1143,3880,143,126,99.99972581863403,of
36,2,1,3,1285,3889,403,108,99.77806210517883,Science
37,2,1,4,1687,3880,135,126,99.99366998672485,in
38,2,1,5,1821,3880,456,108,99.12253022193909,Financial
39,2,1,6,2302,3889,635,99,99.06498789787292,Mathematics
40,2,1,1,786,4040,322,108,99.99958276748657,SUNY
41,2,1,2,1134,4049,536,108,99.63687658309937,University
42,2,1,3,1678,4040,144,117,99.99901056289673,at
43,2,1,4,1821,4040,393,108,99.98931884765625,Buffalo
44,2,1,1,4782,4022,251,108,95.5007553100586,Cum
45,2,1,2,5050,4022,322,108,99.93769526481628,Laude
46,2,1,1,786,4192,456,108,99.99439716339111,Bachelor
47,2,1,2,1241,4183,135,126,99.99983310699463,of
48,2,1,3,1375,4192,411,108,99.94776844978333,Science
49,2,1,4,1803,4192,99,108,99.99966621398926,in
50,2,1,5,1919,4201,536,108,99.65742826461792,Aerospace
51,2,1,6,2481,4183,607,135,86.43654584884644,Engineering
52,2,1,1,777,4344,402,134,98.80920648574829,Udemy
53,2,1,1,4773,4326,376,134,99.99668598175049,Python
54,2,1,2,5157,4335,572,99,55.14850616455078,certification
55,2,1,1,786,4602,750,135,99.69053864479065,Experience:
56,2,1,1,786,4879,402,143,99.99864101409912,Relyks
57,2,1,2,1214,4879,403,134,95.95227837562561,Living/
58,2,1,3,1642,4879,385,134,99.97676014900208,Skyler
59,2,1,4,2044,4879,937,134,68.02017092704773,Designs/Central
60,2,1,5,3007,4879,545,108,99.98807907104492,Furniture
61,2,1,1,4773,4861,296,135,99.99998807907104,2021
62,2,1,2,5076,4870,153,126,99.99842643737793,to
63,2,1,3,5237,4870,465,108,99.98798370361328,Present
64,2,1,1,777,5128,286,135,99.99572038650513,Lead
65,2,1,2,1071,5137,1027,135,81.00995421409607,Developer/Strategy
66,2,1,3,2115,5137,269,108,99.47180151939392,Lead
67,2,1,1,1178,5378,287,108,57.65764117240906,Work
68,2,1,2,1464,5369,161,126,99.99884366989136,for
69,2,1,3,1624,5387,91,108,99.99315738677979,a
70,2,1,4,1723,5378,295,108,99.11352396011353,home
71,2,1,5,2035,5387,482,108,97.86479473114014,furnishing
72,2,1,6,2543,5369,599,135,99.97828602790833,"partnership,"
73,2,1,7,3159,5378,215,117,99.87415671348572,split
74,2,1,8,3382,5369,206,117,99.99194145202637,into
75,2,1,9,3605,5369,634,108,97.06735014915466,E-commerce
76,2,1,10,4256,5369,393,135,99.98100399971008,(Relyks
77,2,1,11,4657,5369,376,135,99.95003938674927,"Living),"
78,2,1,12,5050,5369,224,108,99.99581575393677,B2B
79,2,1,13,5282,5369,509,108,99.4144856929779,distributor
80,2,1,1,1170,5512,393,170,99.87290501594543,(Skyler
81,2,1,2,1562,5530,474,135,99.46777820587158,"Designs),"
82,2,1,3,2053,5530,215,117,99.98500347137451,and
83,2,1,4,2276,5530,670,108,95.2180802822113,Manufacturer
84,2,1,5,2962,5521,412,135,99.99673366546631,(Central
85,2,1,6,3382,5521,527,135,99.9804675579071,Furniture).
86,2,1,7,3926,5521,277,108,66.27956628799438,Work
87,2,1,8,4211,5539,144,99,99.9930739402771,as
88,2,1,9,4354,5512,197,135,97.13828563690186,the
89,2,1,10,4541,5521,233,108,99.99086856842041,lead
90,2,1,11,4782,5521,518,135,99.89344477653503,developer
91,2,1,12,5299,5512,171,126,99.99970197677612,for
92,2,1,1,1178,5681,554,135,73.28424453735352,application
93,2,1,2,1714,5673,241,143,99.36895370483398,and
94,2,1,3,1937,5673,420,134,99.99164342880249,website
